Population,P.bott,P.const,P.exp,Scenario
PUR,0.433866666666667,0.555733333333333,0.0104,const
CEU,0.569866666666667,0.419466666666667,0.0106666666666667,bott
YRI,0.0016,0.0653333333333333,0.933066666666667,exp
CHB,0.679733333333333,0.3176,0.00266666666666667,bott
JPT,0.6656,0.3312,0.0032,bott
LWK,0.00586666666666667,0.200266666666667,0.793866666666667,exp
MXL,0.446133333333333,0.539466666666667,0.0144,const
ASW,0.00266666666666667,0.0901333333333333,0.9072,exp
TSI,0.5704,0.427466666666667,0.00213333333333333,bott
GIH,0.432533333333333,0.553866666666667,0.0136,const
MKK,0.0285333333333333,0.4224,0.549066666666667,exp
